1. open,2. high,3. low,4. close,5. volume,text_representation,vectors
  (0, 81)	0.5191503947108599
  (0, 32)	0.539029516872417"
195.71,195.72,195.71,195.71,15.0,195.71 195.72 195.71 195.71 15.0,"  (0, 20)	0.6220007669795865
  (0, 81)	0.24342338662671092
  (0, 79)	0.5462060377333676
  (0, 32)	0.505488936638186"
195.71,195.71,195.7,195.7,40.0,195.71 195.71 195.7 195.7 40.0,"  (0, 52)	0.7065453770638289
  (0, 79)	0.41363223474130945
  (0, 32)	0.574196834310885"
195.71,195.71,195.7,195.71,174.0,195.71 195.71 195.7 195.71 174.0,"  (0, 28)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.71,195.71,195.71,195.71,3.0,195.71 195.71 195.71 195.71 3.0,"  (0, 79)	0.821505970863965
  (0, 32)	0.5701999121666491"
195.71,195.71,195.71,195.71,17.0,195.71 195.71 195.71 195.71 17.0,"  (0, 26)	0.5413351532437385
  (0, 79)	0.6907278929803891
  (0, 32)	0.4794280235045198"
195.71,195.71,195.71,195.71,3.0,195.71 195.71 195.71 195.71 3.0,"  (0, 79)	0.821505970863965
  (0, 32)	0.5701999121666491"
195.71,195.71,195.7,195.71,181.0,195.71 195.71 195.7 195.71 181.0,"  (0, 29)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.71,195.72,195.7,195.71,125.0,195.71 195.72 195.7 195.71 125.0,"  (0, 14)	0.6809912257311422
  (0, 81)	0.26650962383136423
  (0, 79)	0.39867209054422714
  (0, 32)	0.5534294310059386"
195.7,195.71,195.7,195.705,38.0,195.7 195.71 195.7 195.705 38.0,"  (0, 50)	0.6591128989628208
  (0, 78)	0.4913524956726032
  (0, 79)	0.19293194053422077
  (0, 32)	0.535649304805701"
195.71,195.71,195.7,195.71,325.0,195.71 195.71 195.7 195.71 325.0,"  (0, 47)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.71,195.71,195.7,195.705,74.0,195.71 195.71 195.7 195.705 74.0,"  (0, 78)	0.5069593093646362
  (0, 84)	0.5282576581509096
  (0, 79)	0.39812006324998594
  (0, 32)	0.552663116637319"
195.7,195.71,195.7,195.71,63.0,195.7 195.71 195.7 195.71 63.0,"  (0, 64)	0.7065453770638289
  (0, 79)	0.41363223474130945
  (0, 32)	0.574196834310885"
195.705,195.705,195.7,195.7,7.0,195.705 195.705 195.7 195.7 7.0,"  (0, 78)	0.8780351108026315
  (0, 32)	0.4785962225068335"
195.7,195.71,195.7,195.71,217.0,195.7 195.71 195.7 195.71 217.0,"  (0, 37)	0.7065453770638289
  (0, 79)	0.41363223474130945
  (0, 32)	0.574196834310885"
195.71,195.71,195.7,195.705,147.0,195.71 195.71 195.7 195.705 147.0,"  (0, 19)	0.6251327036056207
  (0, 78)	0.46602109369507244
  (0, 79)	0.3659708853758589
  (0, 32)	0.5080342057097982"
195.705,195.71,195.7,195.705,6.0,195.705 195.71 195.7 195.705 6.0,"  (0, 78)	0.8652731336932964
  (0, 79)	0.1698768463026269
  (0, 32)	0.4716399698910774"
195.7,195.71,195.7,195.705,10.0,195.7 195.71 195.7 195.705 10.0,"  (0, 78)	0.5319131452841924
  (0, 0)	0.5806903991732879
  (0, 79)	0.20885827632738777
  (0, 32)	0.5798666110334322"
195.71,195.71,195.7,195.7,406.0,195.71 195.71 195.7 195.7 406.0,"  (0, 53)	0.7065453770638289
  (0, 79)	0.41363223474130945
  (0, 32)	0.574196834310885"
195.7,195.71,195.7,195.7,194.0,195.7 195.71 195.7 195.7 194.0,"  (0, 31)	0.7567652811462474
  (0, 79)	0.22151621436968186
  (0, 32)	0.6150096552274331"
195.72,195.72,195.7,195.71,146.0,195.72 195.72 195.7 195.71 146.0,"  (0, 18)	0.6511141885715224
  (0, 81)	0.5096341653481742
  (0, 79)	0.1905906015618037
  (0, 32)	0.5291488954415645"
195.71,195.71,195.7,195.71,350.0,195.71 195.71 195.7 195.71 350.0,"  (0, 49)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.71,195.71,195.7,195.7,11.0,195.71 195.71 195.7 195.7 11.0,"  (0, 8)	0.6306141134357683
  (0, 79)	0.45362891119752835
  (0, 32)	0.6297195017318146"
195.7,195.71,195.7,195.71,104.0,195.7 195.71 195.7 195.71 104.0,"  (0, 3)	0.7065453770638289
  (0, 79)	0.41363223474130945
  (0, 32)	0.574196834310885"
195.71,195.72,195.7,195.7,693.0,195.71 195.72 195.7 195.7 693.0,"  (0, 75)	0.725611223509627
  (0, 81)	0.2839719028945531
  (0, 79)	0.21239696817558307
  (0, 32)	0.5896913078833101"
195.71,195.71,195.7,195.71,64.0,195.71 195.71 195.7 195.71 64.0,"  (0, 65)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.7,195.72,195.7,195.71,77.0,195.7 195.72 195.7 195.71 77.0,"  (0, 81)	0.3131722153408356
  (0, 88)	0.6512520781787631
  (0, 79)	0.23423736072904336
  (0, 32)	0.6503281887209317"
195.71,195.71,195.7,195.71,23.0,195.71 195.71 195.7 195.71 23.0,"  (0, 40)	0.6412907093851943
  (0, 79)	0.5631453785972635
  (0, 32)	0.5211655290028101"
195.7,195.71,195.7,195.71,7.0,195.7 195.71 195.7 195.71 7.0,"  (0, 79)	0.5845006228166181
  (0, 32)	0.8113932597248917"
195.72,195.72,195.71,195.71,3.0,195.72 195.72 195.71 195.71 3.0,"  (0, 81)	0.6157514406279324
  (0, 79)	0.4605516877058225
  (0, 32)	0.6393295756618368"
195.715,195.715,195.7,195.7,1614.0,195.715 195.715 195.7 195.7 1614.0,"  (0, 25)	0.5778740742820916
  (0, 80)	0.6674662039773626
  (0, 32)	0.4696279600073505"
195.715,195.72,195.71,195.71,611.0,195.715 195.72 195.71 195.71 611.0,"  (0, 63)	0.63374123503738
  (0, 80)	0.3659974337660249
  (0, 81)	0.24801808272184392
  (0, 79)	0.3710105703126662
  (0, 32)	0.5150302057639254"
195.71,195.715,195.71,195.715,204.0,195.71 195.715 195.71 195.715 204.0,"  (0, 34)	0.5473976826152622
  (0, 80)	0.6322648299028165
  (0, 79)	0.3204625408396242
  (0, 32)	0.44486033971800115"
195.71,195.72,195.71,195.71,328.0,195.71 195.72 195.71 195.71 328.0,"  (0, 48)	0.5890452133752625
  (0, 81)	0.2512213020511538
  (0, 79)	0.5637034053675484
  (0, 32)	0.521681957491769"
195.715,195.715,195.71,195.715,10.0,195.715 195.715 195.71 195.715 10.0,"  (0, 0)	0.38753183301123567
  (0, 80)	0.8250066210008624
  (0, 79)	0.13938448229891623
  (0, 32)	0.3869820665120724"
195.72,195.72,195.71,195.715,43.0,195.72 195.72 195.71 195.715 43.0,"  (0, 54)	0.6094504574855376
  (0, 80)	0.3519690547421615
  (0, 81)	0.47702350935267174
  (0, 79)	0.17839502095495477
  (0, 32)	0.49528952381200353"
195.7,195.715,195.7,195.715,5360.0,195.7 195.715 195.7 195.715 5360.0,"  (0, 59)	0.5778740742820916
  (0, 80)	0.6674662039773626
  (0, 32)	0.4696279600073505"
195.68,195.69,195.68,195.68,241.0,195.68 195.69 195.68 195.68 241.0,"  (0, 42)	0.43371486711461876
  (0, 74)	0.31155726211850465
  (0, 72)	0.7684964116259598
  (0, 32)	0.35247234186953336"
195.68,195.68,195.67,195.67,530.0,195.68 195.68 195.67 195.67 530.0,"  (0, 58)	0.4581163155098321
  (0, 69)	0.598891247175952
  (0, 72)	0.5411554476158829
  (0, 32)	0.3723029640432401"
195.67,195.68,195.66,195.67,129.0,195.67 195.68 195.66 195.67 129.0,"  (0, 15)	0.4879198394250851
  (0, 69)	0.6378531199657917
  (0, 72)	0.28818061065005307
  (0, 67)	0.33881923448917173
  (0, 32)	0.39652375670423434"
195.67,195.68,195.67,195.67,121.0,195.67 195.68 195.67 195.67 121.0,"  (0, 11)	0.41328778163554614
  (0, 69)	0.8104309755182115
  (0, 72)	0.24410059944738988
  (0, 32)	0.3358716135978066"
195.66,195.677,195.66,195.67,252.0,195.66 195.677 195.66 195.67 252.0,"  (0, 43)	0.4536751760859166
  (0, 69)	0.29654269322026905
  (0, 71)	0.41630206539437326
  (0, 67)	0.6300783999654173
  (0, 32)	0.36869372919332444"
195.67,195.67,195.66,195.66,77.0,195.67 195.67 195.66 195.66 77.0,"  (0, 69)	0.586952746190244
  (0, 67)	0.6235632433879482
  (0, 88)	0.36539971973935054
  (0, 32)	0.364881350646532"
195.67,195.68,195.66,195.66,515.0,195.67 195.68 195.66 195.66 515.0,"  (0, 56)	0.4786166916621091
  (0, 69)	0.31284560021590924
  (0, 72)	0.282685882650345
  (0, 67)	0.6647179638105057
  (0, 32)	0.38896325433873"
195.67,195.67,195.66,195.67,10.0,195.67 195.67 195.66 195.67 10.0,"  (0, 69)	0.8249526003614454
  (0, 67)	0.2921360208646015
  (0, 0)	0.3423756011329951
  (0, 32)	0.3418898948771471"
195.68,195.68,195.66,195.68,19.0,195.68 195.68 195.66 195.68 19.0,"  (0, 30)	0.4351005784670547
  (0, 72)	0.7709517441096743
  (0, 67)	0.3021407063416574
  (0, 32)	0.3535984847864171"
195.67,195.7,195.65,195.675,1246.0,195.67 195.7 195.65 195.675 1246.0,"  (0, 13)	0.5044503618754599
  (0, 70)	0.5044503618754599
  (0, 66)	0.46289446416156266
  (0, 69)	0.32973165998872894
  (0, 32)	0.40995781765578276"
195.69,195.7,195.68,195.7,6.0,195.69 195.7 195.68 195.7 6.0,"  (0, 74)	0.5816387868022722
  (0, 72)	0.4782291784615886
  (0, 32)	0.6580221687413995"
195.69,195.71,195.68,195.702,39.0,195.69 195.71 195.68 195.702 39.0,"  (0, 77)	0.5381457165055391
  (0, 74)	0.38657472631888823
  (0, 72)	0.31784557353521586
  (0, 51)	0.4938140437773565
  (0, 79)	0.15752308525439565
  (0, 32)	0.4373414317698217"
195.69,195.71,195.67,195.67,106.0,195.69 195.71 195.67 195.67 106.0,"  (0, 4)	0.5018120469453311
  (0, 69)	0.6560142751269392
  (0, 74)	0.3604745866437009
  (0, 79)	0.146887691248284
  (0, 32)	0.40781370613800505"
195.68,195.71,195.68,195.71,103.0,195.68 195.71 195.68 195.71 103.0,"  (0, 72)	0.6561971035885789
  (0, 2)	0.5097433663051515
  (0, 79)	0.3252088463670824
  (0, 32)	0.45144907574879717"
195.685,195.69,195.662,195.67,61.0,195.685 195.69 195.662 195.67 61.0,"  (0, 62)	0.4660637194673925
  (0, 68)	0.4660637194673925
  (0, 73)	0.4660637194673925
  (0, 69)	0.3046404076491565
  (0, 74)	0.3347949250069259
  (0, 32)	0.3787616775831755"
195.71,195.72,195.66,195.695,834.0,195.71 195.72 195.66 195.695 834.0,"  (0, 92)	0.5569725166901358
  (0, 76)	0.5110899191497629
  (0, 67)	0.38677050303758786
  (0, 81)	0.21797422683108164
  (0, 79)	0.16303396373876466
  (0, 32)	0.4526416367065847"
195.72,195.73,195.71,195.72,268.0,195.72 195.73 195.71 195.72 268.0,"  (0, 44)	0.6094504574855376
  (0, 81)	0.47702350935267174
  (0, 82)	0.3519690547421615
  (0, 79)	0.17839502095495477
  (0, 32)	0.49528952381200353"
195.71,195.72,195.71,195.72,29.0,195.71 195.72 195.71 195.72 29.0,"  (0, 45)	0.5853104845037421
  (0, 81)	0.4992569625637398
  (0, 79)	0.3734195675987875
  (0, 32)	0.5183743325010969"
195.71,195.72,195.71,195.72,11.0,195.71 195.72 195.71 195.72 11.0,"  (0, 8)	0.5391957887349174
  (0, 81)	0.5185738220837196
  (0, 79)	0.3878676251527099
  (0, 32)	0.538430866331426"
195.72,195.73,195.71,195.71,65.0,195.72 195.73 195.71 195.71 65.0,"  (0, 66)	0.6009093958611464
  (0, 81)	0.25628124533597846
  (0, 82)	0.37819128785268996
  (0, 79)	0.38337144594081385
  (0, 32)	0.5321893511565273"
195.72,195.72,195.71,195.72,8.0,195.72 195.72 195.71 195.72 8.0,"  (0, 81)	0.805485140195412
  (0, 79)	0.2008210436127993
  (0, 32)	0.5575523270211001"
195.72,195.73,195.71,195.71,1567.0,195.72 195.73 195.71 195.71 1567.0,"  (0, 23)	0.63374123503738
  (0, 81)	0.24801808272184392
  (0, 82)	0.3659974337660249
  (0, 79)	0.3710105703126662
  (0, 32)	0.5150302057639254"
195.7,195.73,195.68,195.72,596.0,195.7 195.73 195.68 195.72 596.0,"  (0, 61)	0.6329640909220171
  (0, 72)	0.373848250270769
  (0, 81)	0.24771394314115291
  (0, 82)	0.36554861848280856
  (0, 32)	0.5143986345933672"
